"filename", "language", "C++", "Markdown", "CSS", "comment", "blank", "total"
"d:\qt_\projects\word-memorize-software\Image_processing.h", "C++", 93, 0, 0, 9, 16, 118
"d:\qt_\projects\word-memorize-software\README.md", "Markdown", 0, 7, 0, 0, 1, 8
"d:\qt_\projects\word-memorize-software\acrylicframe.cpp", "C++", 23, 0, 0, 0, 7, 30
"d:\qt_\projects\word-memorize-software\acrylicframe.h", "C++", 19, 0, 0, 0, 9, 28
"d:\qt_\projects\word-memorize-software\afternoon.css", "CSS", 0, 0, 271, 9, 15, 295
"d:\qt_\projects\word-memorize-software\appinit.cpp", "C++", 56, 0, 0, 0, 9, 65
"d:\qt_\projects\word-memorize-software\appinit.h", "C++", 17, 0, 0, 0, 9, 26
"d:\qt_\projects\word-memorize-software\class.cpp", "C++", 18, 0, 0, 4, 5, 27
"d:\qt_\projects\word-memorize-software\class.h", "C++", 27, 0, 0, 0, 9, 36
"d:\qt_\projects\word-memorize-software\class_frame.cpp", "C++", 33, 0, 0, 1, 8, 42
"d:\qt_\projects\word-memorize-software\class_frame.h", "C++", 25, 0, 0, 0, 5, 30
"d:\qt_\projects\word-memorize-software\classcue_frame.cpp", "C++", 56, 0, 0, 10, 7, 73
"d:\qt_\projects\word-memorize-software\classcue_frame.h", "C++", 21, 0, 0, 0, 6, 27
"d:\qt_\projects\word-memorize-software\database.cpp", "C++", 88, 0, 0, 14, 20, 122
"d:\qt_\projects\word-memorize-software\database.h", "C++", 141, 0, 0, 18, 25, 184
"d:\qt_\projects\word-memorize-software\day.css", "CSS", 0, 0, 453, 10, 30, 493
"d:\qt_\projects\word-memorize-software\login.cpp", "C++", 125, 0, 0, 8, 19, 152
"d:\qt_\projects\word-memorize-software\login.h", "C++", 25, 0, 0, 0, 7, 32
"d:\qt_\projects\word-memorize-software\main.cpp", "C++", 155, 0, 0, 27, 32, 214
"d:\qt_\projects\word-memorize-software\morning.css", "CSS", 0, 0, 316, 9, 15, 340
"d:\qt_\projects\word-memorize-software\newclass_frame.cpp", "C++", 59, 0, 0, 3, 7, 69
"d:\qt_\projects\word-memorize-software\newclass_frame.h", "C++", 23, 0, 0, 0, 6, 29
"d:\qt_\projects\word-memorize-software\night.css", "CSS", 0, 0, 454, 9, 31, 494
"d:\qt_\projects\word-memorize-software\question.cpp", "C++", 43, 0, 0, 0, 12, 55
"d:\qt_\projects\word-memorize-software\question.h", "C++", 19, 0, 0, 0, 6, 25
"d:\qt_\projects\word-memorize-software\register.cpp", "C++", 12, 0, 0, 0, 3, 15
"d:\qt_\projects\word-memorize-software\register.h", "C++", 16, 0, 0, 0, 7, 23
"d:\qt_\projects\word-memorize-software\resource_manager.cpp", "C++", 149, 0, 0, 5, 29, 183
"d:\qt_\projects\word-memorize-software\resource_manager.h", "C++", 54, 0, 0, 0, 13, 67
"d:\qt_\projects\word-memorize-software\role.cpp", "C++", 514, 0, 0, 45, 112, 671
"d:\qt_\projects\word-memorize-software\role.h", "C++", 174, 0, 0, 11, 22, 207
"d:\qt_\projects\word-memorize-software\student_main.cpp", "C++", 221, 0, 0, 29, 37, 287
"d:\qt_\projects\word-memorize-software\student_main.h", "C++", 41, 0, 0, 0, 15, 56
"d:\qt_\projects\word-memorize-software\system.cpp", "C++", 68, 0, 0, 4, 16, 88
"d:\qt_\projects\word-memorize-software\system.h", "C++", 45, 0, 0, 0, 10, 55
"d:\qt_\projects\word-memorize-software\table.h", "C++", 23, 0, 0, 4, 6, 33
"d:\qt_\projects\word-memorize-software\task.cpp", "C++", 20, 0, 0, 4, 5, 29
"d:\qt_\projects\word-memorize-software\task.h", "C++", 30, 0, 0, 0, 9, 39
"d:\qt_\projects\word-memorize-software\task_frame.cpp", "C++", 18, 0, 0, 0, 4, 22
"d:\qt_\projects\word-memorize-software\task_frame.h", "C++", 21, 0, 0, 0, 5, 26
"d:\qt_\projects\word-memorize-software\teacher_main.cpp", "C++", 187, 0, 0, 46, 29, 262
"d:\qt_\projects\word-memorize-software\teacher_main.h", "C++", 37, 0, 0, 0, 12, 49
"d:\qt_\projects\word-memorize-software\testDb.cpp", "C++", 20, 0, 0, 13, 7, 40
"d:\qt_\projects\word-memorize-software\util.h", "C++", 31, 0, 0, 1, 8, 40
"d:\qt_\projects\word-memorize-software\word.h", "C++", 27, 0, 0, 0, 8, 35
"d:\qt_\projects\word-memorize-software\word_display.cpp", "C++", 81, 0, 0, 2, 19, 102
"d:\qt_\projects\word-memorize-software\word_display.h", "C++", 35, 0, 0, 0, 8, 43
"d:\qt_\projects\word-memorize-software\word_frame.cpp", "C++", 43, 0, 0, 0, 13, 56
"d:\qt_\projects\word-memorize-software\word_frame.h", "C++", 32, 0, 0, 0, 6, 38
"d:\qt_\projects\word-memorize-software\words.cpp", "C++", 22, 0, 0, 4, 5, 31
"d:\qt_\projects\word-memorize-software\words.h", "C++", 56, 0, 0, 9, 16, 81
"Total", "-", 3043, 7, 1494, 308, 740, 5592